gene	gene_id	gene_name	WT_UN120	WT_EM30	WT_EM120	EDF1_ko_UN120	EDF1_ko_EM30	EDF1_ko_EM120
ENSG00000186092|OR4F5	ENSG00000186092	OR4F5	0.06826066666666666	0.0	0.0	0.0	0.0	0.0
ENSG00000284733|OR4F29	ENSG00000284733	OR4F29	0.217051	0.22549	0.32348499999999997	1.0784543333333334	1.1427173333333334	0.44530899999999995
ENSG00000187634|SAMD11	ENSG00000187634	SAMD11	11.239360000000003	17.836928	26.444941333333333	12.680768	12.344183333333334	12.671991999999998
ENSG00000188976|NOC2L	ENSG00000188976	NOC2L	116.17033466666668	152.48236533333332	114.35873866666667	116.39423466666666	97.702016	89.96051066666666
ENSG00000187961|KLHL17	ENSG00000187961	KLHL17	4.854049333333333	7.044474000000001	8.939085333333335	3.8865953333333336	3.8339340000000006	4.075675333333334
ENSG00000187583|PLEKHN1	ENSG00000187583	PLEKHN1	0.3262393333333333	0.5836653333333334	0.37030899999999994	0.5174116666666667	0.28729600000000005	0.12431666666666664
ENSG00000187642|PERM1	ENSG00000187642	PERM1	0.3395283333333334	0.6468316666666668	0.4495	0.631284	0.207978	0.260488
ENSG00000188290|HES4	ENSG00000188290	HES4	53.77490466666668	46.518319999999996	55.29155133333333	35.34726533333333	36.60804566666667	39.592884999999995
ENSG00000187608|ISG15	ENSG00000187608	ISG15	7.171947333333335	9.381591	10.568	6.292035666666667	5.837992	6.369756333333332
ENSG00000188157|AGRN	ENSG00000188157	AGRN	6.604077666666666	11.554942333333335	7.217751333333333	9.327363666666669	7.0277720000000015	3.783493333333334
ENSG00000237330|RNF223	ENSG00000237330	RNF223	0.2831416666666666	0.3859953333333333	0.4458026666666666	0.6251669999999999	0.34558533333333336	0.117746
ENSG00000131591|C1orf159	ENSG00000131591	C1orf159	4.020724666666667	6.219003666666667	6.337951666666666	4.898578666666667	3.4335459999999998	4.024299
