Unnamed: 0	EDF1Δ EM120/UN	EDF1Δ EM30/UN	EDF1Δ effect on EM120	EDF1Δ effect on EM30	UN, EDF1Δ/WT	WT EM120/UN	WT EM30/UN
ENSG00000000003|TSPAN6	0.7528749157527881	0.743073394841543	0.6983541147492769	0.136330887680952	0.234487560536189	0.631110642590363	0.125209704737218
ENSG00000000419|DPM1	0.896561151287403	0.0198199010977456	0.7171960596985211	0.216595409185262	0.630026786260193	0.30056601632421803	0.5783619574647011
ENSG00000000457|SCYL3	1.16622773811451e-10	0.0026914722251902	0.624102832962814	0.234907245786746	0.928295703467333	1.56954332527408e-06	0.252060075981552
ENSG00000000460|C1orf112	0.442243072788368	0.157475478808411	0.662432600594416	0.040292544838944996	0.9307589899664581	0.0406483792187073	0.225809663334057
ENSG00000001036|FUCA2	0.638054009130011	0.5934861607549771	0.646338464920856	0.068882296735736	0.122718053043738	0.0830631318336096	0.0891618613217459
ENSG00000001084|GCLC	0.00069819027361888	0.42470856496386	0.43896042771929294	0.5038410656359621	0.2743422796481	0.223796726418053	0.9849471117952329
ENSG00000001167|NFYA	0.0377624960346296	0.301210949315953	0.453579051724722	0.264409670709812	0.6622934314235219	0.8291132771495201	0.734182097898932
ENSG00000001460|STPG1	0.120952321078489	0.069487999499519	0.522778353206212	0.10968492639179699	0.194643700954809	0.972463219196683	0.8002041223667561
ENSG00000001461|NIPAL3	0.12309095736835	0.9225591404950642	0.9083850289832192	0.0810180463441068	0.00493025175669123	0.042055381938655	0.0356843057024422
ENSG00000001497|LAS1L	0.447290228885106	0.835297280211368	0.35588468802476503	0.420683222094749	0.9131166506727258	0.0016348454575241	0.405482349962995
ENSG00000001561|ENPP4	0.757233326768735	0.812739113606265	0.933469440131952	0.18039882871567897	0.493628326158965	0.949506673394759	0.143551767158172
ENSG00000001629|ANKIB1	0.0182025730433257	0.7193532554710941	0.08915456827499199	0.6032864290541861	0.0056804481724795	0.508505683464281	0.8042937473904399
ENSG00000001630|CYP51A1	0.23421177113041397	0.46711200055588104	0.7055343198373821	0.95603165328317	0.6517620961431589	0.860063710570782	0.43683723312299294
ENSG00000001631|KRIT1	0.985929867288976	0.13562623159364098	0.8899575246491259	0.260056446404094	0.0295995530649025	0.7600271986185351	0.990804873361463
ENSG00000002016|RAD52	4.1255647243163393e-13	0.0014175768692213401	0.532024749423894	0.3339643503741961	0.910025760965389	1.70037734112497e-07	0.118756969590525
ENSG00000002330|BAD	0.32381319072406	0.681174921742936	0.8499422596949929	0.321844415931504	0.41572250527386406	0.120009021609885	0.41587369051653794
ENSG00000002549|LAP3	0.260982658309318	0.4670037187258089	0.990332743115935	0.0883655597963822	0.0895815174680892	0.259295629636816	0.164937990900007
ENSG00000002586|CD99	0.001551453949705	0.89995035033654	0.172415735433295	0.48137323035791396	1.91496327116722e-26	0.8743142620124529	0.423798187819263
ENSG00000002822|MAD1L1	0.8477099843316809	0.6649904136122421	0.940312280445633	0.0452981370963411	0.598291241360152	0.995762308581145	0.0454978110773365
ENSG00000002834|LASP1	0.0018319611893406103	0.882749210391068	0.265736679837159	0.8849827965552	0.9264364082719431	0.641203507929035	0.998630961192172
ENSG00000002919|SNX11	0.27796633314268204	0.29574164012403004	0.7814880610689291	0.817375686802323	0.8250810977350459	0.0465546097831253	0.11772891099809801
ENSG00000003056|M6PR	0.8683740858812159	0.6263599698512671	0.35365967430214296	0.282762875435138	0.255637015671815	0.0188448345510147	0.406302610052178
ENSG00000003096|KLHL13	0.760253393669788	0.173153367486175	0.976563444233999	0.102632819658783	0.366498807833525	0.7039643993698409	0.483685962380372
ENSG00000003249|DBNDD1	0.000724254624606101	0.26428702983369196	0.45487167977591203	0.33258805368816197	0.27745723451442306	0.22657499700000897	0.9154094323785579
