Unnamed: 0	EDF1Δ EM120/UN	EDF1Δ EM30/UN	EDF1Δ effect on EM120	EDF1Δ effect on EM30	UN, EDF1Δ/WT	WT EM120/UN	WT EM30/UN
ENSG00000000003|TSPAN6	-0.11746954077329799	0.15052231419974998	-0.29461306168655393	0.644061805518167	-0.37817837970236895	0.177143520913256	-0.49353949131841707
ENSG00000000419|DPM1	-0.062658570422485	-0.8577477121336841	0.33164776345663	-0.6374249786725439	-0.208444841129281	-0.394306333879115	-0.22032273346114
ENSG00000000457|SCYL3	0.900898472755768	0.534567166007873	0.207682377535062	0.314015420164588	-0.0243686332107446	0.693216095220706	0.220551745843286
ENSG00000000460|C1orf112	0.158888766973143	0.306273728753901	-0.20580696123407502	0.556226861965615	0.0244860536311082	0.36469572820721796	-0.249953133211714
ENSG00000001036|FUCA2	-0.0975717015751319	0.130830982339992	0.19871602169158	0.453460281873041	-0.27550461867760995	-0.296287723266712	-0.32262929953304903
ENSG00000001084|GCLC	0.394374320317222	0.136081650398654	0.22608404368193202	0.13937317279490602	-0.156842411853696	0.16829027663529	-0.00329152239625213
ENSG00000001167|NFYA	0.271426747755221	0.17296805901182	0.229668307811108	0.227689536591262	-0.075309505638054	0.0417584399441132	-0.0547214775794427
ENSG00000001460|STPG1	0.25151088195717497	0.33127471469077396	0.242293227460342	0.3812330746769821	-0.230334167766489	0.00921765449683332	-0.0499583599862082
ENSG00000001461|NIPAL3	-0.276636791195206	0.032132752894992	0.0674885698111618	0.4483779470762879	-0.46506542921717503	-0.3441253610063679	-0.416245194181296
ENSG00000001497|LAS1L	-0.113508255733744	-0.0458700954504058	0.264415757027096	-0.16775557617710501	0.0208044798746165	-0.37792401276083903	0.12188548072669901
ENSG00000001561|ENPP4	0.188140166475051	0.18470049753726	0.13931385517249803	0.953335693988197	-0.388123548038893	0.0488263113025535	-0.768635196450938
ENSG00000001629|ANKIB1	0.23355370146026502	0.0586545851400997	0.316096251741242	0.0901215846466086	-0.27702130098329103	-0.0825425502809766	-0.0314669995065088
ENSG00000001630|CYP51A1	-0.31749828389678897	-0.24633584062398398	-0.252012907282741	-0.0263522767651977	0.144985131019197	-0.06548537661404799	-0.219983563858786
ENSG00000001631|KRIT1	-0.00323526609440238	-0.228786311051276	-0.0586782751013025	-0.22654461270436	0.285158668744353	0.0554430090069001	-0.00224169834691683
ENSG00000002016|RAD52	0.9142270255680249	0.508415403566984	0.231827730467582	0.235547630636638	-0.0263591826314911	0.682399295100444	0.272867772930347
ENSG00000002330|BAD	-0.358173842191099	-0.20825390105840602	0.192936431230457	-0.514232179256496	0.32022619093836496	-0.551110273421556	0.30597827819809004
ENSG00000002549|LAP3	-0.227713574189935	-0.185811051657466	0.0084693471199058	-0.47689844278710003	0.333884181796915	-0.23618292130984	0.29108739112963394
ENSG00000002586|CD99	-0.37159661247429604	-0.0293780348256523	-0.34049505465698	-0.146933856343371	1.1051486001379298	-0.0311015578173163	0.11755582151771901
ENSG00000002822|MAD1L1	0.0687119517107095	-0.17204022079050002	0.0708743619622799	-0.776152394835134	0.175061334082488	-0.00216241025157042	0.604112174044634
ENSG00000002834|LASP1	-0.46489842755180105	-0.0427259742015981	-0.36742680866152505	-0.0431158056948403	0.0222935809469684	-0.0974716188902766	0.000389831493242163
ENSG00000002919|SNX11	0.26986730555589	0.304489849856523	-0.180505400822216	-0.0976163527726301	-0.0717943214788121	0.450372706378105	0.402106202629153
ENSG00000003056|M6PR	-0.0254920435254221	0.0806107286362982	0.225834064122894	0.184649097404647	-0.14114655751951802	-0.25132610764831603	-0.10403836876834899
ENSG00000003096|KLHL13	-0.0814370036051765	0.336282814907481	0.0228749753685443	0.5019121252609571	-0.21784134288323997	-0.10431197897372099	-0.165629310353475
ENSG00000003249|DBNDD1	-0.60720809140886	-0.27355848040847897	-0.34314579480009993	-0.300081351238358	0.24121609058427498	-0.26406229660876	0.0265228708298782
ENSG00000003393|ALS2	0.360033419868632	0.13357163676002598	0.046286445985230996	0.0844658370339412	-0.0936769922379135	0.313746973883401	0.0491057997260852
ENSG00000003402|CFLAR	-0.291401765915003	-0.356281962186316	-0.272862825347358	-0.6458641043812429	0.175860717141259	-0.0185389405676459	0.289582142194927
ENSG00000003436|TFPI	-0.11884886709615801	-0.18160416251222397	0.16248867583920001	0.5602853034575911	-0.877039329370992	-0.281337542935358	-0.741889465969815
ENSG00000003509|NDUFAF7	0.18776663209534697	0.20812035768719603	0.15304167960147302	0.3272222197841	-0.205148200518853	0.0347249524938746	-0.11910186209690402
ENSG00000003756|RBM5	0.6315709888625439	0.26901145588026504	0.16322017492116198	-0.0489818589309029	-0.101217462113327	0.468350813941382	0.317993314811168
ENSG00000003987|MTMR7	0.460002509216776	0.44461027632022904	0.434980209303969	0.643397857290824	-0.19909018751607999	0.0250222999128074	-0.19878758097059498
ENSG00000003989|SLC7A2	-0.0195011369435266	0.22109656732684999	0.00380979216302906	0.69738319879481	-0.463995963541615	-0.0233109291065557	-0.476286631467961
ENSG00000004059|ARF5	-0.33527717627448805	0.00468145729016317	-0.23678964598271698	0.0972972436080893	0.20669679776284097	-0.0984875302917715	-0.0926157863179261
ENSG00000004139|SARM1	-0.41703478021287	0.0712624002382865	-0.529725447362219	0.0354900984154678	0.650189759060594	0.112690667149348	0.0357723018228187
ENSG00000004142|POLDIP2	-0.17144632836963003	0.0713326063261212	0.0060698191865297705	-0.0192395374895145	0.0961390766791984	-0.17751614755615902	0.0905721438156357
ENSG00000004399|PLXND1	-0.250311394387348	0.119514425408315	0.0855768285092156	0.309118009961802	-0.28364742594105397	-0.33588822289656295	-0.189603584553487
