	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000186092|OR4F5	0.045993294294978	-0.69829337980957	5.26742929997259	-0.132568154225289	0.894534919322642	NA
ENSG00000284733|OR4F29	2.47340779847797	2.14476439400695	1.4303052048401	1.49951519909817	0.13374002869938	NA
ENSG00000187634|SAMD11	366.899683147679	-0.0760773011496396	0.212134715684341	-0.358627303900808	0.719873918182969	0.844616898022234
ENSG00000188976|NOC2L	6892.40469276094	-0.236073120112591	0.175005887324758	-1.34894387681091	0.177354993531661	0.374051844028882
ENSG00000187961|KLHL17	177.994949455803	-0.690425680219822	0.177127927520316	-3.89789283872602	9.7033335104664e-05	0.00140272442982978
ENSG00000187583|PLEKHN1	14.6698813010925	0.22251649417875	0.507674159040435	0.438305732557537	0.661164670919885	0.808376919500516
ENSG00000187642|PERM1	24.9879478724247	0.65708432519566	0.375202639398681	1.75127852578206	0.0798979448554567	0.223061734156881
ENSG00000188290|HES4	314.579408730954	-0.767050486788245	0.170570373758698	-4.49697371170315	6.89275065430117e-06	0.000151450892643476
ENSG00000187608|ISG15	80.2357001990731	-0.498825730957212	0.287770710537363	-1.73341383501378	0.0830221403044712	0.228457479625086
ENSG00000188157|AGRN	880.23527198852	0.168568857524238	0.263482303081416	0.639772977360646	0.522320203093492	0.709545278018151
ENSG00000237330|RNF223	9.12269719743193	0.948350285352756	0.57646616583758	1.64511005424723	0.0999471175671659	0.257425871657193
ENSG00000131591|C1orf159	110.230884260377	-0.222491011360984	0.196466128448931	-1.13246498578414	0.257438996986207	0.46998063289802
ENSG00000162571|TTLL10	7.26975793262994	0.489149432740821	0.576542918972818	0.848418073735605	0.396205180634666	0.607796173577082
ENSG00000186891|TNFRSF18	10.8468510657258	0.607068386134638	0.654483991312548	0.927552689130228	0.353639648654742	0.567408901650518
ENSG00000186827|TNFRSF4	2.65711022542337	-0.278012377798887	1.22526471609843	-0.226899847964408	0.820501620277583	0.904720983109968
ENSG00000078808|SDF4	1954.26350571026	0.128234394168966	0.206851932259721	0.619933267086702	0.535301722656261	0.719494743669478
ENSG00000176022|B3GALT6	807.575149930686	-0.322396774311207	0.10560293430553	-3.05291492543616	0.00226630178724366	0.0178457638674871
ENSG00000184163|C1QTNF12	2.12993335812722	-0.22703429942272	1.21886898073453	-0.186266369077587	0.852235879491287	NA
ENSG00000160087|UBE2J2	942.508394021812	-0.178618548971685	0.126879290207997	-1.40778332444066	0.159195239639213	0.348640630380695
ENSG00000162572|SCNN1D	46.5983617562268	0.66166470616433	0.309348155138858	2.1388997967915	0.0324437845194864	0.122514887578525
ENSG00000131584|ACAP3	569.639580347467	-0.500071146614867	0.144698432811445	-3.45595413093731	0.000548348625313233	0.00584734375217195
ENSG00000169972|PUSL1	216.231555105956	-0.829048981082133	0.134415155824054	-6.16782368029494	6.92362842130978e-10	4.06610442654421e-08
ENSG00000127054|INTS11	911.140701947395	-0.106720124990065	0.189865507899265	-0.562082740413735	0.574059647167369	0.749430271645273
ENSG00000224051|CPTP	114.83325023337	-0.0584402027434961	0.257236024067564	-0.227185142342841	0.820279780355338	0.904538810672109
ENSG00000169962|TAS1R3	21.4440091909016	0.0215138224814423	0.376178010364509	0.0571905371624349	0.954393416074549	0.976990575284023
ENSG00000107404|DVL1	614.124260225176	-0.196763993675185	0.222174086869154	-0.885629807003847	0.375817044137003	0.588405855339227
ENSG00000162576|MXRA8	16.4790813770062	0.570789365426782	0.45198874321097	1.26283978085791	0.206646765045708	0.410926854828849
ENSG00000175756|AURKAIP1	1122.41637628036	-0.355033251327583	0.178457628934953	-1.98945404265676	0.0466511096421829	0.157232228622561
