	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000186092|OR4F5	0.045993294294978	-0.797649246092014	5.267538927386	-0.151427309240189	0.879638648190745	NA
ENSG00000284733|OR4F29	2.47340779847797	0.361122303042575	1.58401493428437	0.227979102486003	0.819662486562699	NA
ENSG00000187634|SAMD11	366.899683147679	0.509321390787235	0.209833354820532	2.42726610944601	0.0152130925848133	0.0983744418798521
ENSG00000188976|NOC2L	6892.40469276094	0.234982804572749	0.17490062345824	1.34352182357345	0.179103064312305	0.354770296359564
ENSG00000187961|KLHL17	177.994949455803	0.164783218566925	0.167494521830259	0.983812585428425	0.325207670116363	0.513138276222256
ENSG00000187583|PLEKHN1	14.6698813010925	0.595213791554105	0.495796703373291	1.20051986530851	0.229937502229503	NA
ENSG00000187642|PERM1	24.9879478724247	0.759016520539776	0.371672387624739	2.04216548178478	0.0411351192310323	0.15962933442988
ENSG00000188290|HES4	314.579408730954	-0.383057069764264	0.168058919857377	-2.27930222382332	0.0226491059368148	0.118353040618004
ENSG00000187608|ISG15	80.2357001990731	0.212283926304349	0.277433283126443	0.765171085141929	0.444169675179723	0.618302199907753
ENSG00000188157|AGRN	880.23527198852	0.46479778626694	0.263173475649921	1.76612701990235	0.0773745413004963	0.221681066496228
ENSG00000237330|RNF223	9.12269719743193	0.220856441808755	0.603430792763238	0.366001278783614	0.714364121350948	NA
ENSG00000131591|C1orf159	110.230884260377	0.12356346497393	0.191032618608559	0.646818673553968	0.517749305311704	0.67774749327162
ENSG00000162571|TTLL10	7.26975793262994	0.476455954038376	0.573343772716175	0.831012695544245	0.405966457433729	NA
ENSG00000186891|TNFRSF18	10.8468510657258	1.63503564671002	0.624103275760107	2.61981583852236	0.00879772630796254	NA
ENSG00000186827|TNFRSF4	2.65711022542337	1.17269283522934	1.07876729873058	1.0870674672928	0.277006994134032	NA
ENSG00000078808|SDF4	1954.26350571026	0.458861089489929	0.206633650911932	2.22065035130942	0.0263746526318925	0.127211375754797
ENSG00000176022|B3GALT6	807.575149930686	-0.00155215141366847	0.104328307618463	-0.0148775672595477	0.988129856676475	0.9936729302784
ENSG00000184163|C1QTNF12	2.12993335812722	-0.816974619782466	1.26923570880231	-0.643674468120181	0.519786549593351	NA
ENSG00000160087|UBE2J2	942.508394021812	0.12496435096838	0.126094475945587	0.991037474332378	0.321667282010913	0.509856270283048
ENSG00000162572|SCNN1D	46.5983617562268	0.856425446368558	0.305113069990218	2.80691170127853	0.00500189502360272	0.0593656744920843
ENSG00000131584|ACAP3	569.639580347467	0.155165122086524	0.142097306076727	1.09196385470348	0.27484898884765	0.462513155026939
